Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/project/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/project/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/project/Identity, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_3/output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/input, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/expand/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/expand/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/expand/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/expand/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/expand/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/expand/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/expand/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/expand/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/expansion_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/depthwise/depthwise_weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/depthwise/depthwise, Layer Type: DepthwiseConv2dNative
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/depthwise/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/depthwise/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/depthwise/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/depthwise/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/depthwise/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/depthwise/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/depthwise_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/project/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/project/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/project/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/project/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/project/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/project/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/project/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/project/Identity, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_4/output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/input, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/expand/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/expand/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/expand/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/expand/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/expand/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/expand/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/expand/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/expand/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/expansion_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/depthwise/depthwise_weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/depthwise/depthwise, Layer Type: DepthwiseConv2dNative
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/depthwise/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/depthwise/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/depthwise/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/depthwise/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/depthwise/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/depthwise/Relu6, Layer Type: Relu6
